----------------------------------------------------------------------------
Tipo    Código  Mensaje                       Mensajes vendidos   Monto Ventas
----------------------------------------------------------------------------
1       1       Lo que los demas piensen de           0                0
1       2       No pierdas tu preciado                0                0
1       3       Sueña mas cuando                      0                0
1       4       No tienes que gana                    0                0
1       5       No compares tu vida                   0                0
1       6       La vida es demasiado corta            0                0
1       7       Nadie mas está al                     0                0
1       8       Ríe y sonríe más a                    0                0
1       9       Duerme 8 horas al dia                 0                0
1       10      Toma agua                             0                0
1       11      Olvida los problemas                  0                0
1       12      Cualquiera que sea                    0                0
1       13      No importa cómo                       0                0
1       14      Sé agradecido                         0                0
1       15      No hagas siempre                      0                0
1       16      Vive el hoy                           0                0
2       1       No hay mal que por bien no            0                0
2       2       Quien duerme mucho, poco              0                0
2       3       De tal palo tal astilla               0                0
2       4       No hay peor ciego que el              0                0
2       5       El que no corre, vuela                0                0
2       6       Nadie sabe lo que tiene               0                0
2       7       Al mal tiempo buena cara              0                0
2       8       A buen entendedor pocas               0                0
2       9       A caballo regalado no se              0                0
2       10      Barriga llena, corazón                0                0
2       11      Más vale estar solo que mal           0                0
2       12      El que busca encuentra                0                0
2       13      Dime con quién andas                  0                0
2       14      Haz bien y no mires a quien           0                0
2       15      La esperanza es lo último             0                0
2       16      Lo prometido es deuda                 0                0
2       17      La pereza es la madre de              0                0
3       1       -¡Estás obsesionado con la            0                0
3       2       -¿Por qué estás hablando              0                0
3       3       — Buenos días, me gustaría            0                0
3       4       — ¡Camarero! Este filete              0                0
3       5       — Abuelo, ¿por qué estás              0                0
3       6       — ¿Para que va una caja               0                0
3       7       — ¿Por qué se suicidó el              0                0
3       8       — ¿Qué le dice un huevo               0                0
3       9       — ¿Qué le dice un espagueti           0                0
3       10      — ¿Qué le dice un grano de            0                0
3       11      —¿Qué le dice un árbol a otro         0                0
3       12      — ¿Cómo se llama el primo             0                0
3       13      — Soy celíaca.                        0                0
3       14      — ¿Sabes por qué no se                0                0
3       15      — ¿Por qué el mar no se seca?         0                0
3       16      — ¿De qué se quejan siempre           0                0
3       17      — Mamá, en el cole me llaman          0                0
----------------------------------------------------------------------------
